Vehicle, site1,site2,site3,site4,site5
0,0.0174943581,1.0174943581,7.4082561823,9.2969571737,9.7969571737
1,0.0383649701,0.6633649701,0.7883649701,1.8376432987,1.9626432987
2,0.0440760078,0.5440760078,1.4986434707,2.3427729069,2.9055258644
3,0.0454656146,0.9204656146,6.5927310628,6.8427310628,13.233492887
4,0.0595514041,0.1845514041,0.9345514041,1.5641184012,1.8823075555
5,0.0715168608,0.4465168608,1.1965168608,1.826083858,2.1442730123
6,0.0781965793,0.2372911565,1.286569485,1.4964251508,4.4062009748
7,0.0928578862,0.3428578862,1.138330772,4.5105812392,8.8752449753
8,0.1096940803,0.9846940803,1.4619778117,7.8432764409,7.9682764409
9,0.1098482595,0.3598482595,2.2485492509,2.3735492509,9.5631563031
10,0.1181127709,0.7431127709,1.1181127709,4.4903632381,4.7403632381
11,0.1238402757,1.2488402757,3.1375412672,4.6065309272,4.9815309272
12,0.1255523001,1.2505523001,3.2201876512,3.3792822284,5.6274492065
13,0.1303596705,1.2440217106,1.8735887077,2.4363416652,5.9815075703
14,0.1308672932,0.5058672932,0.7558672932,2.629339775,3.4248126608
15,0.1459051355,0.4640942898,2.7151061196,3.9742401139,5.943875465
16,0.1530002546,1.584851449,4.9571019162,6.0707639563,6.3207639563
17,0.1570651011,0.9525379869,1.2025379869,5.0822390856,6.0368065485
18,0.1611848638,1.2861848638,1.445279441,6.8540560752,7.1040560752
19,0.168306315,1.168306315,2.6001575094,3.1001575094,4.7884163818
20,0.1708427257,1.2845047658,7.67526659,8.30026659,8.67526659
21,0.1849288851,1.1849288851,1.6046402165,7.9954020407,15.8307304568
22,0.2647331945,1.5374898118,8.8521104909,13.216774227,13.8531525356
23,0.2769948945,2.165695886,2.9611687717,3.4384525032,3.8581638346
24,0.2980160908,0.6730160908,1.6275835538,3.0965732138,10.411193893
25,0.3166294005,0.9416294005,1.8961968634,9.2108175426,14.6195941768
26,0.342141161,1.7739923554,2.0921815097,6.8999829623,7.6499829623
27,0.3521402075,1.6248968247,5.9895605608,6.4895605608,7.1145605608
28,0.354361333,1.479361333,7.1516267812,14.8839587771,15.1339587771
29,0.3624616263,2.041306952,2.6708739492,11.3697474446,11.4947474446
30,0.3701338385,0.84741757,5.6552190226,5.9052190226,8.5280804971
31,0.3759858934,2.0548312192,2.8503041049,4.5385629773,10.9293248015
32,0.3841713373,0.7023604916,3.6999164625,6.6096922865,8.5793276377
33,0.3914549088,1.4407332374,5.8053969735,6.4303969735,13.9991167292
34,0.4492856872,1.1992856872,2.3129477273,10.8277574524,10.9527574524
35,0.4587064415,1.2541793272,2.5133133215,5.136174796,12.868506792
36,0.4609522957,1.8678346893,9.0574417415,13.4221054776,14.2615281405
37,0.4950862373,2.7460980671,7.1107618032,7.7471401118,8.7017075747
38,0.5302836392,1.9621348336,2.7115238263,6.2566897314,14.0568854858
39,0.5339088389,0.9089088389,2.3778984989,9.9466182546,10.1966182546
40,0.5496189612,0.7996189612,3.0506307911,3.9256307911,6.8354066151
41,0.5563784509,1.8291350681,2.9427971082,5.8525729322,12.2433347564
42,0.5858151699,3.5833711408,3.8333711408,9.5056365889,10.3806365889
43,0.5950487914,4.4747498901,7.8470003574,8.3470003574,14.7282989866
44,0.6588612837,2.1278509437,2.3778509437,7.1856523963,7.4356523963
45,0.6772530506,1.1545367821,2.4136707764,8.0859362246,8.3359362246
46,0.6916947563,2.3705400821,2.6887292364,3.1084405678,3.5857242993
47,0.7583092179,3.1831224046,11.4120706687,15.7767344048,16.4131127134
48,0.7606827225,3.293071031,3.4521656082,12.1510391036,12.4010391036
49,0.7684064694,1.2456902009,1.8084431583,9.6086389127,9.926828067
50,0.7937653965,1.1687653965,4.1663213674,4.5413213674,4.7913213674
51,0.7964114233,2.7660467745,3.2433305059,3.6630418374,6.6679177452
52,0.8084680627,1.2857517942,5.6504155302,6.0254155302,14.7242890257
53,0.8226911932,1.4522581904,1.9295419218,2.4922948793,2.9695786107
54,0.8606196477,1.4901866449,2.119753642,10.6345633672,10.8845633672
55,0.869154489,3.8667104599,4.6167104599,4.9917104599,5.7417104599
56,0.8809675139,1.7559675139,2.1756788453,2.6529625768,10.3852945727
57,0.8961617391,1.1461617391,1.3961617391,3.8209749258,6.069141904
58,0.9664961509,1.4664961509,7.8477947802,9.7364957716,10.3728740802
59,0.9976127403,1.4748964717,1.8946078032,10.1235560672,10.2485560672
60,1.0269030306,1.1519030306,2.4110370249,3.0406040221,9.9741113593
61,1.038750242,4.9184513407,5.1684513407,13.0037797568,19.3945415809
62,1.0626367206,1.9067661568,9.4754859124,9.7254859124,10.6004859124
63,1.0636498074,1.700028116,3.1069105097,3.5841942411,12.2830677366
64,1.0700049375,3.602393246,6.9746437133,7.4746437133,8.0996437133
65,1.1018243391,1.2609189162,4.6331693834,4.8831693834,7.5060308579
66,1.1277390912,2.1770174198,2.4952065741,4.4648419252,13.3514951803
67,1.1317258825,1.4499150368,6.858691671,7.108691671,13.4994534951
68,1.1422208374,3.0309218288,3.4506331602,4.2947625964,4.7720463279
69,1.144836509,1.3546921747,3.6028591528,11.1715789085,11.4215789085
70,1.1491094589,1.4672986132,6.2751000659,7.5342340602,9.0032237202
71,1.1545635746,3.1241989257,3.2491989257,11.7640086508,12.0140086508
72,1.2025284043,3.7349167129,11.0495373921,11.4245373921,14.7967878593
73,1.2158366018,2.059966038,2.3781551923,8.7689170165,9.5189170165
74,1.23023189,3.1037043717,10.9039001261,14.2761505933,15.1511505933
75,1.2338429676,1.7111266991,9.5113224535,9.7613224535,10.8749844935
76,1.241064587,2.9293234594,5.1774904375,10.8497558857,11.0997558857
77,1.2823234686,3.17102446,5.1406598111,5.5156598111,13.3509882272
78,1.3124167462,5.192117845,12.7608376006,13.3858376006,14.1358376006
79,1.3157271221,5.6803908582,5.8053908582,8.0535578363,15.9528051742
80,1.3359085635,6.1437100162,6.3937100162,14.2290384323,14.9790384323
81,1.3386286791,3.0268875515,6.4216260129,6.6716260129,7.1489097444
82,1.3733462583,2.2174756945,3.9057345669,9.5780000151,9.8280000151
83,1.4031421467,4.4080180546,6.6561850327,7.0311850327,7.2811850327
84,1.407657479,1.657657479,3.6272928301,12.4420372982,12.8170372982
85,1.4332175792,2.0582175792,2.9023470154,9.2931088396,10.2476763025
86,1.4343208654,3.9667091739,4.4667091739,5.0917091739,5.2167091739
87,1.4360588775,1.6860588775,4.6909347854,6.9391017635,14.5078215192
88,1.453032243,2.2971616792,3.0471616792,3.4221616792,4.5358237193
89,1.4742227896,2.5235011182,2.8985011182,3.3182124496,3.9477794468
90,1.4744020433,2.5984855324,3.5530529953,5.4417539867,5.6917539867
91,1.5223819482,8.4558892854,11.8281397526,12.7031397526,12.9531397526
92,1.5418019606,7.2140674088,15.0493958249,15.6743958249,16.4243958249
93,1.5508702671,1.8690594214,3.8386947725,11.4074145282,17.7981763524
94,1.5603248752,4.1831863497,4.4331863497,7.0560478242,7.3742369785
95,1.5648052521,1.6898052521,8.0711038813,10.6034921899,11.4784921899
96,1.5782884785,4.110676787,11.843008783,12.218008783,15.2155647538
97,1.5798773505,1.9995886819,5.0044645898,7.252631568,15.1518789059
98,1.5860424097,4.4958182337,5.1253852309,5.3753852309,6.7822676245
99,1.6426955385,8.8323025907,8.9573025907,16.1469096429,16.3969096429
